shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
3012,8,127.801195,26.334707
3012,9,127.800924,26.334928
3012,10,127.799927,26.33538
3012,11,127.798437,26.336212
3012,12,127.798437,26.336346
3012,13,127.799563,26.33679
3012,14,127.800511,26.337446
3012,15,127.80121,26.337929
3012,16,127.801218,26.33798
3012,17,127.799232,26.340038
3012,18,127.798842,26.340402
3012,19,127.79884,26.34086
3012,20,127.798836,26.341861
3012,21,127.798952,26.342444
3012,22,127.79896,26.342663
3012,23,127.799882,26.34422
3012,24,127.800304,26.344928
3012,25,127.801435,26.346826
3012,26,127.802365,26.348528
3012,27,127.80302,26.350002
3012,28,127.803621,26.351675
3012,29,127.803809,26.351977
3012,30,127.804027,26.35174
3012,31,127.804292,26.35104
3012,32,127.804482,26.350744
3012,33,127.804686,26.350594
3012,34,127.805402,26.350457
3012,35,127.806139,26.35044
3012,36,127.806056,26.35213
3012,37,127.806154,26.352331
3012,38,127.806945,26.35395
3012,39,127.807998,26.353663
3012,40,127.809009,26.353388
3012,41,127.810634,26.353343
3012,42,127.811497,26.353237
3012,43,127.813545,26.35272
3012,44,127.813968,26.352565
3012,45,127.814294,26.352391
3012,46,127.815303,26.351851
3012,47,127.815823,26.351741
3012,48,127.816343,26.351732
3012,49,127.816572,26.351752
3012,50,127.816688,26.351762
3012,51,127.817514,26.351983
3012,52,127.817575,26.352103
3012,53,127.817209,26.353435
3012,54,127.817183,26.353876
3012,55,127.817217,26.354344
3012,56,127.817339,26.354773
3012,57,127.817514,26.355196
3012,58,127.817686,26.355492
3012,59,127.819153,26.358026
3012,60,127.819257,26.358263
3012,61,127.819924,26.359394
3012,62,127.821765,26.362399
3012,63,127.82205,26.362864
3012,64,127.822427,26.363467
3012,65,127.822607,26.363647
3012,66,127.824674,26.36709
3012,67,127.825228,26.366847
3012,68,127.825801,26.36685
3012,69,127.825795,26.366759
3012,70,127.825338,26.366761
3012,71,127.825222,26.366762
3012,72,127.824639,26.367034
3012,73,127.826322,26.369821
3012,74,127.826627,26.370654
3012,75,127.826873,26.372261
3012,76,127.827017,26.373197
3012,77,127.826937,26.373287
3012,78,127.826383,26.3734
3012,79,127.824274,26.37383
3012,80,127.822444,26.374316
3012,81,127.822294,26.374398
3012,82,127.821625,26.374584
3012,83,127.82124,26.374747
3012,84,127.821103,26.374936
3012,85,127.821514,26.376413
3012,86,127.821653,26.376604
3012,87,127.822094,26.37721
3012,88,127.824551,26.378915
3012,89,127.825326,26.379338
3012,90,127.826547,26.380004
3012,91,127.827045,26.380433
3012,92,127.827406,26.380949
3012,93,127.827606,26.381457
3012,94,127.82768,26.381903
3012,95,127.827629,26.384667
3012,96,127.827612,26.385618
3012,97,127.827802,26.386252
3012,98,127.828484,26.387644
3012,99,127.828536,26.388002
3012,100,127.82875,26.38819
3012,101,127.82903,26.388255
3012,102,127.829035,26.3883
3012,103,127.828963,26.388352
3012,104,127.828707,26.38854
3012,105,127.828597,26.388675
3012,106,127.828484,26.388635
3012,107,127.82858,26.388417
3012,108,127.82864,26.388136
3012,109,127.828598,26.387648
3012,110,127.827864,26.386231
3012,111,127.827791,26.386023
3012,112,127.828013,26.385638
3012,113,127.828462,26.385066
3012,114,127.828594,26.384796
3012,115,127.828683,26.384539
3012,116,127.828712,26.384174
3012,117,127.828673,26.384099
3012,118,127.828324,26.383427
3012,119,127.827987,26.382465
3012,120,127.827609,26.381049
3012,121,127.827558,26.380459
3012,122,127.827585,26.380342
3012,123,127.827829,26.379829
3012,124,127.827888,26.379585
3012,125,127.827877,26.37932
3012,126,127.82776,26.378958
3012,127,127.827707,26.378889
3012,128,127.827563,26.378699
3012,129,127.826868,26.378536
3012,130,127.826237,26.378532
3012,131,127.825894,26.378648
3012,132,127.825545,26.378868
3012,133,127.825401,26.378919
3012,134,127.824839,26.378984
3012,135,127.824138,26.378557
3012,136,127.822139,26.377149
3012,137,127.821715,26.376605
3012,138,127.821622,26.376428
3012,139,127.821525,26.376244
3012,140,127.821155,26.374752
3012,141,127.820608,26.371857
3012,142,127.820586,26.371743
3012,143,127.82042,26.371186
3012,144,127.820216,26.37075
3012,145,127.819732,26.370057
3012,146,127.817843,26.367742
3012,147,127.817274,26.367156
3012,148,127.817132,26.367104
3012,149,127.816976,26.36715
3012,150,127.815802,26.368144
3012,151,127.816147,26.368351
3012,152,127.816316,26.368237
3012,153,127.816672,26.367998
3012,154,127.816412,26.367681
3012,155,127.817011,26.367179
3012,156,127.817136,26.367174
3012,157,127.817431,26.367439
3012,158,127.817656,26.36744
3012,159,127.819497,26.3663
3012,160,127.819558,26.366261
3012,161,127.819877,26.366059
3012,162,127.819885,26.365929
3012,163,127.819061,26.365227
3012,164,127.818376,26.364977
3012,165,127.81735,26.36446
3012,166,127.817273,26.364121
3012,167,127.817167,26.363996
3012,168,127.817014,26.363946
3012,169,127.816868,26.363965
3012,170,127.816831,26.363997
3012,171,127.816688,26.364118
3012,172,127.816576,26.364338
3012,173,127.815682,26.364712
3012,174,127.815485,26.364737
3012,175,127.815129,26.364697
3012,176,127.815077,26.364905
3012,177,127.814964,26.365079
3012,178,127.813324,26.362455
3012,179,127.813142,26.361847
3012,180,127.813258,26.360614
3012,181,127.812633,26.360595
3012,182,127.81113,26.360551
3012,183,127.8104,26.360367
3012,184,127.809963,26.360121
3012,185,127.809561,26.359798
3012,186,127.808927,26.359206
3012,187,127.808481,26.358878
3012,188,127.80747,26.358345
3012,189,127.807043,26.358154
3012,190,127.806054,26.357494
3012,191,127.805388,26.357016
3012,192,127.804999,26.356737
3012,193,127.804261,26.356281
3012,194,127.804544,26.355946
3012,195,127.804831,26.355236
3012,196,127.805016,26.354662
3012,197,127.80503,26.354102
3012,198,127.804907,26.353635
3012,199,127.804678,26.353204
3012,200,127.803978,26.352089
3012,201,127.803868,26.351914
3012,202,127.803646,26.351463
3012,203,127.803017,26.349796
3012,204,127.802906,26.349503
3012,205,127.802418,26.348438
3012,206,127.801554,26.346824
3012,207,127.799691,26.343654
3012,208,127.799063,26.342585
3012,209,127.799048,26.342395
3012,210,127.79888,26.34187
3012,211,127.798894,26.340877
3012,212,127.7989,26.340446
3012,213,127.798689,26.340088
3012,214,127.79857,26.340042
3012,215,127.798164,26.340182
3012,216,127.798067,26.340565
3012,217,127.797874,26.340659
3012,218,127.796775,26.339107
3012,219,127.796025,26.33773
3012,220,127.79606,26.337608
3012,221,127.799499,26.335704
3012,222,127.799791,26.335542
3012,223,127.801092,26.334894
3012,224,127.801928,26.334614
3012,225,127.802412,26.334308
3012,226,127.80347,26.333413
3012,227,127.803618,26.333406
3012,228,127.8045154,26.3341005
3013,1,127.80449,26.33411
3013,2,127.804602,26.334163
3013,3,127.805267,26.333531
3013,4,127.80418,26.332704
3013,5,127.803978,26.33283
3013,6,127.802229,26.334249
3013,7,127.801975,26.334421
3013,8,127.801195,26.334707
3013,9,127.800924,26.334928
3013,10,127.799927,26.33538
3013,11,127.798437,26.336212
3013,12,127.798437,26.336346
3013,13,127.799563,26.33679
3013,14,127.8005113,26.33744578
3013,15,127.80121,26.337929
3013,16,127.801218,26.33798
3013,17,127.799232,26.340038
3013,18,127.798842,26.340402
3013,19,127.7988401,26.34086014
3013,20,127.798836,26.341861
3013,21,127.798952,26.342444
3013,22,127.79896,26.342663
3013,23,127.799882,26.34422
3013,24,127.8003041,26.34492834
3013,25,127.801435,26.346826
3013,26,127.802365,26.348528
3013,27,127.80302,26.350002
3013,28,127.803621,26.351675
3013,29,127.803809,26.351977
3013,30,127.804027,26.35174
3013,31,127.804292,26.35104
3013,32,127.804482,26.350744
3013,33,127.804686,26.350594
3013,34,127.805402,26.350457
3013,35,127.806139,26.35044
3013,36,127.806056,26.35213
3013,37,127.8061541,26.3523309
3013,38,127.806945,26.35395
3013,39,127.8079977,26.35366337
3013,40,127.809009,26.353388
3013,41,127.810634,26.353343
3013,42,127.811497,26.353237
3013,43,127.813545,26.35272
3013,44,127.813968,26.352565
3013,45,127.8142942,26.35239053
3013,46,127.815303,26.351851
3013,47,127.815823,26.351741
3013,48,127.816343,26.351732
3013,49,127.8165724,26.35175195
3013,50,127.816688,26.351762
3013,51,127.817514,26.351983
3013,52,127.817575,26.352103
3013,53,127.817209,26.353435
3013,54,127.817183,26.353876
3013,55,127.817217,26.354344
3013,56,127.817339,26.354773
3013,57,127.817514,26.355196
3013,58,127.8176856,26.35549223
3013,59,127.819153,26.358026
3013,60,127.819257,26.358263
3013,61,127.819924,26.359394
3013,62,127.8217648,26.3623985
3013,63,127.82205,26.362864
3013,64,127.822427,26.363467
3013,65,127.822607,26.363647
3013,66,127.824674,26.36709
3013,67,127.825228,26.366847
3013,68,127.825801,26.36685
3013,69,127.825795,26.366759
3013,70,127.8253383,26.36676139
3013,71,127.825222,26.366762
3013,72,127.824639,26.367034
3013,73,127.826322,26.369821
3013,74,127.826627,26.370654
3013,75,127.8268734,26.37226096
3013,76,127.827017,26.373197
3013,77,127.826937,26.373287
3013,78,127.8263828,26.3734
3013,79,127.824274,26.37383
3013,80,127.822444,26.374316
3013,81,127.822294,26.374398
3013,82,127.821625,26.374584
3013,83,127.82124,26.374747
3013,84,127.821103,26.374936
3013,85,127.821514,26.376413
3013,86,127.8216533,26.37660445
3013,87,127.822094,26.37721
3013,88,127.824551,26.378915
3013,89,127.8253257,26.37933768
3013,90,127.826547,26.380004
3013,91,127.827045,26.380433
3013,92,127.827406,26.380949
3013,93,127.827606,26.381457
3013,94,127.82768,26.381903
3013,95,127.8276294,26.38466675
3013,96,127.827612,26.385618
3013,97,127.827802,26.386252
3013,98,127.828484,26.387644
3013,99,127.828536,26.388002
3013,100,127.82875,26.38819
3013,101,127.82903,26.388255
3013,102,127.829035,26.3883
3013,103,127.8289632,26.3883522
3013,104,127.828958,26.388356
4011,1,127.834041,26.33148
4011,2,127.832825,26.330193
4011,3,127.834269,26.329314
4011,4,127.83401,26.328893
4011,5,127.833979,26.328844
4011,6,127.833977,26.328824
4011,7,127.833964,26.328818
4011,8,127.832764,26.326869
4011,9,127.832621,26.326574
4011,10,127.832526,26.32629
4011,11,127.832458,26.325877
4011,12,127.832436,26.325569
4011,13,127.832452,26.325445
4011,14,127.832472,26.325404
4011,15,127.832461,26.325379
4011,16,127.832599,26.325058
4011,17,127.832778,26.324845
4011,18,127.833139,26.324617
4011,19,127.8344202,26.3241688
4011,20,127.8351172,26.3257092
4011,21,127.8355888,26.3255428
4011,22,127.834846,26.3239299
4011,23,127.8346301,26.3240081
4011,24,127.833851,26.324269
4011,25,127.832475,26.321073
4011,26,127.833147,26.32084
4011,27,127.833274,26.320828
4011,28,127.833326,26.320777
4011,29,127.837785,26.31923
4011,30,127.837658,26.318932
4011,31,127.837659,26.318894
4011,32,127.837635,26.318879
4011,33,127.836431,26.316062
4011,34,127.836433,26.316009
4011,35,127.836402,26.315994
4011,36,127.835817,26.314624
4011,37,127.835648,26.314432
4011,38,127.831371,26.315902
4011,39,127.831351,26.315888
4011,40,127.831351,26.315893
4011,41,127.83135,26.315909
4011,42,127.830447,26.316251
4011,43,127.8301,26.315484
4011,44,127.828053,26.310742
4011,45,127.827672,26.310098
4011,46,127.827074,26.3093
4011,47,127.826313,26.308592
4011,48,127.825326,26.307934
4011,49,127.824482,26.307526
4011,50,127.823435,26.307185
4011,51,127.820564,26.306728
4011,52,127.819461,26.306564
4011,53,127.819453,26.306557
4011,54,127.819444,26.306561
4011,55,127.8174,26.306282
4011,56,127.817092,26.306159
4011,57,127.816615,26.307146
4011,58,127.815888,26.308281
4011,59,127.815728,26.308531
4011,60,127.815509,26.308706
4011,61,127.815253,26.308818
4011,62,127.81474,26.30943
4011,63,127.81662,26.311854
4011,64,127.816993,26.312197
4011,65,127.818794,26.313851
4011,66,127.818988,26.314305
4011,67,127.819015,26.315195
4011,68,127.820359,26.315112
4011,69,127.820839,26.314972
4011,70,127.82123,26.314738
4011,71,127.821469,26.314496
4011,72,127.821679,26.314129
4011,73,127.821916,26.313093
4011,74,127.82212,26.312772
4011,75,127.822661,26.312554
4011,76,127.823729,26.314942
4011,77,127.825187,26.318202
4011,78,127.825544,26.318699
4011,79,127.825717,26.318878
4011,80,127.826476,26.319662
4011,81,127.828302,26.321315
4011,82,127.828813,26.321898
4011,83,127.828936,26.322132
4011,84,127.82924,26.322711
4011,85,127.827473,26.323477
4011,86,127.825777,26.323999
4011,87,127.825635,26.324043
4011,88,127.823848,26.324705
4011,89,127.8229,26.325287
4011,90,127.82202,26.325802
4011,91,127.821749,26.325902
4011,92,127.821527,26.325984
4011,93,127.819215,26.326498
4011,94,127.818582,26.326562
4011,95,127.818012,26.326495
4011,96,127.817578,26.32633
4011,97,127.817206,26.326108
4011,98,127.816897,26.325843
4011,99,127.816604,26.325547
4011,100,127.816321,26.325267
4011,101,127.816023,26.325087
4011,102,127.815707,26.324982
4011,103,127.815394,26.325001
4011,104,127.815148,26.325073
4011,105,127.814868,26.325254
4011,106,127.814652,26.325539
4011,107,127.814559,26.325831
4011,108,127.814452,26.326835
4011,109,127.814367,26.327637
4011,110,127.814272,26.32809
4011,111,127.814082,26.328446
4011,112,127.813676,26.32888
4011,113,127.813109,26.329365
4011,114,127.812706,26.329588
4011,115,127.812546,26.32964
4011,116,127.812609,26.329898
4011,117,127.812682,26.329894
4011,118,127.812702,26.3299
4011,119,127.812706,26.329899
4011,120,127.812718,26.329894
4011,121,127.812814,26.329886
4011,122,127.812716,26.32959
4011,123,127.81237,26.329698
4011,124,127.81171,26.329846
4011,125,127.811189,26.329977
4011,126,127.809737,26.330654
4011,127,127.809338,26.330749
4011,128,127.808582,26.330707
4011,129,127.808151,26.330601
4011,130,127.807858,26.330633
4011,131,127.807427,26.330786
4011,132,127.807018,26.331077
4011,133,127.806,26.332077
4011,134,127.805679,26.332356
4011,135,127.805362,26.332485
4011,136,127.804573,26.332554
4011,137,127.804032,26.33279
4011,138,127.803447,26.333287
4011,139,127.804501,26.334098
4011,140,127.804515,26.3341
